,S-FMNIST,,S-CIFAR10,,S-CIFAR100,,S-CORe50,,SE-CIFAR100,,SE-CORe50
0110_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.98,0104_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.95,0093_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.74,0092_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.41,0109_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0114_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0106_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.99,0113_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.92,0085_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.75,0081_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.41,0103_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.9,0101_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0112_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,1,0112_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.94,0098_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.76,0084_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.43,0111_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.9,0116_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.93
0100_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.98,0108_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.94,0094_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.73,0086_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.42,0114_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0113_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0111_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.97,0102_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.97,0095_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.77,0082_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.43,0107_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0117_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0108_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,1,0110_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.95,0080_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.74,0087_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.37,0105_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.9,0119_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.93
0102_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.99,0119_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.94,0099_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.75,0090_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.41,0120_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0118_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.93
0103_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.99,0106_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.94,0089_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.77,0088_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.39,0116_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.92,0109_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0104_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.98,0115_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.96,0096_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.73,0083_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.38,0121_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0115_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.94
0107_ml-16_e2839908_BTO_S-FMNIST_VAE_taskOracle,0.99,0117_ml-17_e2839908_BTO_S-CIFAR10_VAE_taskOracle,0.93,0097_ml-18_e2839908_BTO_S-CIFAR100_VAE_taskOracle,0.76,0091_ml-18_e2839908_BTO_S-CORe50_AE_taskOracle,0.38,0118_ml-17_e2839908_BTO_SE-CIFAR100_AE_taskOracle,0.91,0105_ml-16_e2839908_BTO_SE-CORe50_VAE_taskOracle,0.93